source_title,item_title,target,application_period,content,application_method,contact,notes,price,purchase_method,location
외국인 지원 정책 | 외국인 지원 | 복지 |  서울시 중구청,임산부 보건소 등록관리 지원,대한민국 국적 배우자과 결혼한 결혼이민 임신부(F6 결혼이민 비자),,"산전검사, 엽산제 및 철분제 공급, 출산 후 유축기 대여",,중구 보건소 ☎ 02-3396-6496,,,,
외국인 지원 정책 | 외국인 지원 | 복지 |  서울시 중구청,임산부 교통비 지원,임신 3개월~출산 후 3개월 기간내 속한 서울시 거주 임산부 (부부 중 한 명이 한국국적 주민),,1인당 70만원 교통포인트 지원,등록지 관할 동주민센터 방문 신청 또는 서울맘케어시스템 온라인 신청,중구 가족정책과 ☎ 02-3396-5434,,,,
외국인 지원 정책 | 외국인 지원 | 복지 |  서울시 중구청,고위험 임산부 의료비 지원,"19대 고위험 임신질환 진단 후 입원치료를 받은 산모 ※ F6(결혼이민) 산모, 부부 모두 외국인인 경우(F5(영주권)에 한해 지원)",,"입원치료비 중 전액본인부담금 및 비급여 진료비 90%, 최대 300만원 한도 지원",(온라인)e보건소공공포털 (오프라인)보건소 방문,중구보건소 ☎ 02-3396-6357,,,,
외국인 지원 정책 | 외국인 지원 | 복지 |  서울시 중구청,35세 이상 임산부 의료비 지원,"분만예정 연도 기준 35세 이상 임산부 ※ 배우자가 내국인인 경우 지원, 부부 모두 외국인인 경우 지원 불가",,임신 중 외래 진료 및 검사비 최대 50만원 지원,(온라인)몽땅정보만능키 (오프라인)보건소 방문,중구보건소 ☎ 02-3396-6357,,,,
외국인 지원 정책 | 외국인 지원 | 복지 |  서울시 중구청,산후조리비용 지원,중구에 주민등록 또는 외국인 등록을 둔 출산가정 / 신청일 기준 6개월(180일) 전부터 중구 거주 산모(F6(결혼이민) 산모 포함) - 중구에 자녀 출생등록,출산일 기준 60일 이내,50만원 현금 계좌 지급 및 100만원 바우처 지원,(온라인) 서울맘케어시스템 (오프라인)동주민센터 방문,중구보건소 ☎ 02-3396-5678,,,,
외국인 지원 정책 | 외국인 지원 | 복지 |  서울시 중구청,산모신생아 건강관리지원사업,"국내에 주민등록 또는 외국인 등록을 둔 출산가정 ※ F6(결혼이민) 산모, 부부 모두 외국인인 경우(F2(거주), F5(영주권)에 한해 지원)",출산예정일 기준일 40일 전 ~ 출산 후 60일 이내,"기준중위소득 150% 기준으로 산모신생아 건강관리사 방문서비스(산모 및 신생아 건강관리, 가사활동지원 등)에 대한 정부지원금을 바우처 형태로 지원",(온라인)복지로 (오프라인)보건소 방문,중구보건소 ☎ 02-3396-6358,,,,
외국인 지원 정책 | 외국인 지원 | 복지 |  서울시 중구청,난임부부 시술비 지원,"법적 혼인상태, 신청일 기준 1년 이상 사실혼 관계의 난임부부 / 부부 중 한 명은 주민등록상 대한민국 국적 소유자 - 부부 모두 건강보험 가입 및 보험료 고지 여부가 확인되는 자",,"체외수정(신선배아, 동결배아) 및 인공수정 시술비·약제비 지원 (신선배아 최대 110만원, 동결배아 최대 50만원, 인공수정 최대 30만원 한도)","(온라인)정부24, e보건소공공포털 (오프라인)보건소 방문",중구보건소 ☎ 02-3396-6357,,,,
외국인 지원 정책 | 외국인 지원 | 복지 |  서울시 중구청,중구 관광안내지도 영문판 다운로드 및 우편 발송서비스,,,,인터넷 신청 후 신청 주소로 우편수령 (1인당 5매 이내) ★신청사이트 : https://www.junggu.seoul.kr/tour/content.do?cmsid=14965),중구청 체육관광과 ☎02-3396-4643,,,,
외국인 지원 정책 | 외국인 지원 | 복지 |  서울시 중구청,서울 중구 관광투어패스,,,"구매 후 24시간 동안 중구 주요 관광지, 체험시설 등에서 무료이용 및 할인혜택을 받는 모바일 여행 상품",,중구청 체육관광과 ☎02-3396-4643,,"① 기본권 : 9,900원
    - 가맹점 : 37개소 이용가능(남산테이블카, 테테루 뮤지엄, 헤이티 제외)
② 패키지권 : 19,900원(네이버 스마트스토어) / 21,900원(기타 플랫폼)
    - 가맹점 수수료 차이로 판매가 상이
    - 기타 플랫폼 : 15개(투어패스몰, 스마트스토어, 쿠팡, 11번가, 이베이, 야놀자,여기어때 등)
    - 가맹점 : 40개소 이용 가능(남산케이블카, 덕수궁 등)",판매사이트 구매 후 카카오톡 또는 문자 수신※ 한국 핸드폰번호 소지 시 구매 가능 ★구 매 처 : https://smartstore.naver.com/lscompany01/products/11548430713,
외국인 지원 정책 | 외국인 지원 | 복지 |  서울시 중구청,중구민 자전거보험,중구에 주민등록된 모든 구민 ※ 무료 자동 가입,사고 발생일로부터 3년 내 청구,자전거 운전(탑승) 사고 또는 통행(보행) 중 자전거로부터 입은 사고,피보험자가 DB손해보험(☎ 1899-7751)으로 직접 청구,중구청 교통행정과 ☎ 02-3396-6209,,,,
